created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2026-07-13T09:33:07+00:00,1,1.40,17.40,,,,
2026-07-13T09:33:29+00:00,2,1.30,17.70,,,,
2026-07-13T09:33:44+00:00,3,1.30,17.90,,,,
2026-07-13T09:34:00+00:00,4,1.30,18.10,,,,
2026-07-13T09:34:16+00:00,5,1.20,18.30,,,,
2026-07-13T09:34:32+00:00,6,1.20,18.40,,,,
2026-07-13T09:34:48+00:00,7,1.10,18.70,,,,
2026-07-13T09:35:04+00:00,8,1.10,18.60,,,,
2026-07-13T09:35:20+00:00,9,1.10,18.70,,,,
2026-07-13T09:35:36+00:00,10,1.10,18.90,,,,
2026-07-13T09:35:52+00:00,11,1.00,18.90,,,,
2026-07-13T09:36:08+00:00,12,1.00,19.00,,,,
2026-07-13T09:36:24+00:00,13,1.00,19.00,,,,
2026-07-13T09:36:40+00:00,14,1.00,18.90,,,,
2026-07-13T09:36:55+00:00,15,1.00,19.00,,,,
2026-07-13T09:37:11+00:00,16,1.00,19.00,,,,
2026-07-13T09:37:27+00:00,17,1.00,19.00,,,,
2026-07-13T09:37:43+00:00,18,1.00,19.10,,,,
2026-07-13T09:37:59+00:00,19,1.00,19.00,,,,
2026-07-13T09:38:15+00:00,20,1.00,19.00,,,,
2026-07-13T09:38:31+00:00,21,1.00,19.10,,,,
2026-07-13T09:38:49+00:00,22,1.00,19.10,,,,
2026-07-13T09:39:06+00:00,23,1.00,19.10,,,,
2026-07-13T09:39:23+00:00,24,1.00,19.10,,,,
2026-07-13T09:39:38+00:00,25,1.00,19.20,,,,
2026-07-13T09:39:54+00:00,26,1.00,19.30,,,,
2026-07-13T09:40:10+00:00,27,1.00,19.40,,,,
2026-07-13T09:40:26+00:00,28,1.00,19.40,,,,
2026-07-13T09:40:42+00:00,29,1.00,19.30,,,,
2026-07-13T09:40:58+00:00,30,1.00,19.20,,,,
